chr	start	end	size	firstCoveredBase	lastCoveredBase	meanCoverage	NBasesCovered	DepthSum	coverageFraction
chr1	1	14263	14263	None	None	0.0	0	0	0.0
chr1	14264	14494	231	14264	14494	1.3073593073593073	231	302	1.0
chr1	14495	16315	1821	None	None	0.0	0	0	0.0
chr1	16316	16466	151	16316	16466	1.0	151	151	1.0
chr1	16467	16500	34	None	None	0.0	0	0	0.0
chr1	16501	16651	151	16501	16651	1.0	151	151	1.0
chr1	16652	17218	567	None	None	0.0	0	0	0.0
chr1	17219	17369	151	17219	17369	1.0	151	151	1.0
chr1	17370	17401	32	None	None	0.0	0	0	0.0
chr1	17402	17551	150	17402	17551	1.0	150	150	1.0
chr1	17552	19164	1613	None	None	0.0	0	0	0.0
chr1	19165	19447	283	19165	19447	2.1201413427561837	283	600	1.0
chr1	19448	19497	50	None	None	0.0	0	0	0.0
chr1	19498	20627	1130	19498	20627	6.925663716814159	1130	7826	1.0
chr1	20628	21061	434	None	None	0.0	0	0	0.0
chr1	21062	21328	267	21062	21328	1.1310861423220975	267	302	1.0
chr1	21329	21468	140	None	None	0.0	0	0	0.0
chr1	21469	21772	304	21469	21772	2.4802631578947367	304	754	1.0
chr1	21773	22054	282	None	None	0.0	0	0	0.0
chr1	22055	22205	151	22055	22205	1.0	151	151	1.0
chr1	22206	26862	4657	None	None	0.0	0	0	0.0
chr1	26863	27001	139	26863	27001	1.0	139	139	1.0
chr1	27002	27002	1	None	None	0.0	0	0	0.0
chr1	27003	27005	3	27003	27005	1.0	3	3	1.0
chr1	27006	27006	1	None	None	0.0	0	0	0.0
chr1	27007	27013	7	27007	27013	1.0	7	7	1.0
chr1	27014	27160	147	None	None	0.0	0	0	0.0
chr1	27161	27172	12	27161	27172	1.0	12	12	1.0
chr1	27173	27173	1	None	None	0.0	0	0	0.0
chr1	27174	27174	1	27174	27174	1.0	1	1	1.0
chr1	27175	27175	1	None	None	0.0	0	0	0.0
chr1	27176	27177	2	27176	27177	1.0	2	2	1.0
chr1	27178	27178	1	None	None	0.0	0	0	0.0
chr1	27179	27311	133	27179	27311	1.0	133	133	1.0
chr1	27312	28768	1457	None	None	0.0	0	0	0.0
chr1	28769	28899	131	28769	28899	1.0	131	131	1.0
chr1	28900	28900	1	None	None	0.0	0	0	0.0
chr1	28901	28905	5	28901	28905	1.0	5	5	1.0
chr1	28906	28906	1	None	None	0.0	0	0	0.0
chr1	28907	28909	3	28907	28909	1.0	3	3	1.0
chr1	28910	28911	2	None	None	0.0	0	0	0.0
chr1	28912	28914	3	28912	28914	1.0	3	3	1.0
chr1	28915	28915	1	None	None	0.0	0	0	0.0
chr1	28916	28919	4	28916	28919	1.0	4	4	1.0
chr1	28920	29208	289	None	None	0.0	0	0	0.0
chr1	29209	29359	151	29209	29359	1.0	151	151	1.0
chr1	29360	30923	1564	None	None	0.0	0	0	0.0
chr1	30924	31582	659	30924	31582	3.1866464339908953	659	2100	1.0
chr1	31583	38836	7254	None	None	0.0	0	0	0.0
chr1	38837	38998	162	38837	38998	1.8580246913580247	162	301	1.0
chr1	38999	39204	206	None	None	0.0	0	0	0.0
chr1	39205	39434	230	39205	39434	1.3	230	299	1.0
chr1	39435	46533	7099	None	None	0.0	0	0	0.0
chr1	46534	46878	345	46534	46878	3.063768115942029	345	1057	1.0
chr1	46879	46964	86	None	None	0.0	0	0	0.0
chr1	46965	47315	351	46965	47315	2.988603988603989	351	1049	1.0
chr1	47316	47979	664	None	None	0.0	0	0	0.0
chr1	47980	48235	256	47980	48235	1.13671875	256	291	1.0
chr1	48236	49046	811	None	None	0.0	0	0	0.0
chr1	49047	49427	381	49047	49427	2.3753280839895012	381	905	1.0
chr1	49428	50291	864	None	None	0.0	0	0	0.0
chr1	50292	50638	347	50292	50638	4.723342939481268	347	1639	1.0
chr1	50639	51381	743	None	None	0.0	0	0	0.0
chr1	51382	57907	6526	51382	57907	6.623199509653693	6526	43223	1.0
chr1	57908	57924	17	None	None	0.0	0	0	0.0
chr1	57925	58198	274	57925	58198	1.6532846715328466	274	453	1.0
chr1	58199	58253	55	None	None	0.0	0	0	0.0
chr1	58254	59496	1243	58254	59496	6.2944489139179405	1243	7824	1.0
chr1	59497	60078	582	None	None	0.0	0	0	0.0
chr1	60079	60356	278	60079	60356	1.629496402877698	278	453	1.0
chr1	60357	60514	158	None	None	0.0	0	0	0.0
chr1	60515	60665	151	60515	60665	1.0	151	151	1.0
chr1	60666	61009	344	None	None	0.0	0	0	0.0
chr1	61010	61560	551	61010	61560	1.3702359346642468	551	755	1.0
chr1	61561	61675	115	None	None	0.0	0	0	0.0
chr1	61676	61933	258	61676	61933	2.9186046511627906	258	753	1.0
chr1	61934	62467	534	None	None	0.0	0	0	0.0
chr1	62468	62606	139	62468	62606	1.0	139	139	1.0
chr1	62607	62607	1	None	None	0.0	0	0	0.0
chr1	62608	62611	4	62608	62611	1.0	4	4	1.0
chr1	62612	62677	66	None	None	0.0	0	0	0.0
chr1	62678	63048	371	62678	63048	4.067385444743936	371	1509	1.0
chr1	63049	63066	18	None	None	0.0	0	0	0.0
chr1	63067	63217	151	63067	63217	1.0	151	151	1.0
chr1	63218	63251	34	None	None	0.0	0	0	0.0
chr1	63252	63535	284	63252	63535	2.1232394366197185	284	603	1.0
chr1	63536	63551	16	None	None	0.0	0	0	0.0
chr1	63552	63799	248	63552	63799	1.217741935483871	248	302	1.0
chr1	63800	63930	131	None	None	0.0	0	0	0.0
chr1	63931	64238	308	63931	64238	1.9610389610389611	308	604	1.0
chr1	64239	64299	61	None	None	0.0	0	0	0.0
chr1	64300	65213	914	64300	65213	5.012035010940919	914	4581	1.0
chr1	65214	65689	476	None	None	0.0	0	0	0.0
chr1	65690	65860	171	65690	65860	1.7660818713450293	171	302	1.0
chr1	65861	65912	52	None	None	0.0	0	0	0.0
chr1	65913	66141	229	65913	66141	2.6375545851528384	229	604	1.0
chr1	66142	66275	134	None	None	0.0	0	0	0.0
chr1	66276	66409	134	66276	66409	1.0	134	134	1.0
chr1	66410	66661	252	None	None	0.0	0	0	0.0
chr1	66662	66926	265	66662	66926	2.9320754716981132	265	777	1.0
chr1	66927	66949	23	None	None	0.0	0	0	0.0
chr1	66950	67735	786	66950	67735	3.83587786259542	786	3015	1.0
chr1	67736	67741	6	None	None	0.0	0	0	0.0
chr1	67742	67764	23	67742	67764	1.0	23	23	1.0
chr1	67765	67765	1	None	None	0.0	0	0	0.0
