chr	start	end	size	firstCoveredBase	lastCoveredBase	meanCoverage	NBasesCovered	DepthSum	coverageFraction
chr1	1	17479	17479	None	None	0.0	0	0	0.0
chr1	17480	17500	21	17480	17500	11.476190476190476	21	241	1.0
chr1	17501	19216	1716	None	None	0.0	0	0	0.0
chr1	19217	19347	131	19217	19347	1.9770992366412214	131	259	1.0
chr1	19348	20216	869	None	None	0.0	0	0	0.0
chr1	20217	20492	276	20217	20492	1.0905797101449275	276	301	1.0
chr1	20493	21410	918	None	None	0.0	0	0	0.0
chr1	21411	21619	209	21411	21619	1.444976076555024	209	302	1.0
chr1	21620	28467	6848	None	None	0.0	0	0	0.0
chr1	28468	28600	133	28468	28600	1.9323308270676691	133	257	1.0
chr1	28601	30733	2133	None	None	0.0	0	0	0.0
chr1	30734	30975	242	30734	30975	1.8677685950413223	242	452	1.0
chr1	30976	31203	228	None	None	0.0	0	0	0.0
chr1	31204	31347	144	31204	31347	1.9861111111111112	144	286	1.0
chr1	31348	39167	7820	None	None	0.0	0	0	0.0
chr1	39168	39362	195	39168	39362	3.0615384615384613	195	597	1.0
chr1	39363	40237	875	None	None	0.0	0	0	0.0
chr1	40238	40238	1	40238	40238	1.0	1	1	1.0
chr1	40239	40240	2	None	None	0.0	0	0	0.0
chr1	40241	40246	6	40241	40246	1.0	6	6	1.0
chr1	40247	40248	2	None	None	0.0	0	0	0.0
chr1	40249	40249	1	40249	40249	1.0	1	1	1.0
chr1	40250	40250	1	None	None	0.0	0	0	0.0
chr1	40251	40251	1	40251	40251	1.0	1	1	1.0
chr1	40252	40252	1	None	None	0.0	0	0	0.0
chr1	40253	40257	5	40253	40257	1.0	5	5	1.0
chr1	40258	40639	382	None	None	0.0	0	0	0.0
chr1	40640	40658	19	40640	40658	1.0	19	19	1.0
chr1	40659	47070	6412	None	None	0.0	0	0	0.0
chr1	47071	47223	153	47071	47223	1.973856209150327	153	302	1.0
chr1	47224	49128	1905	None	None	0.0	0	0	0.0
chr1	49129	49393	265	49129	49393	2.8452830188679243	265	754	1.0
chr1	49394	50305	912	None	None	0.0	0	0	0.0
chr1	50306	50578	273	50306	50578	4.34065934065934	273	1185	1.0
chr1	50579	51226	648	None	None	0.0	0	0	0.0
chr1	51227	51301	75	51227	51301	1.0	75	75	1.0
chr1	51302	51347	46	None	None	0.0	0	0	0.0
chr1	51348	51607	260	51348	51607	4.953846153846154	260	1288	1.0
chr1	51608	51619	12	None	None	0.0	0	0	0.0
chr1	51620	52036	417	51620	52036	4.788968824940048	417	1997	1.0
chr1	52037	52054	18	None	None	0.0	0	0	0.0
chr1	52055	52400	346	52055	52400	1.523121387283237	346	527	1.0
chr1	52401	52445	45	None	None	0.0	0	0	0.0
chr1	52446	52520	75	52446	52520	1.0	75	75	1.0
chr1	52521	52585	65	None	None	0.0	0	0	0.0
chr1	52586	52773	188	52586	52773	2.404255319148936	188	452	1.0
chr1	52774	52815	42	None	None	0.0	0	0	0.0
chr1	52816	53348	533	52816	53348	3.3133208255159476	533	1766	1.0
chr1	53349	53377	29	None	None	0.0	0	0	0.0
chr1	53378	53528	151	53378	53528	1.0	151	151	1.0
chr1	53529	54144	616	None	None	0.0	0	0	0.0
chr1	54145	54608	464	54145	54608	5.741379310344827	464	2664	1.0
chr1	54609	54667	59	None	None	0.0	0	0	0.0
chr1	54668	54943	276	54668	54943	2.380434782608696	276	657	1.0
chr1	54944	55259	316	None	None	0.0	0	0	0.0
chr1	55260	55913	654	55260	55913	2.8929663608562692	654	1892	1.0
chr1	55914	55914	1	None	None	0.0	0	0	0.0
chr1	55915	56034	120	55915	56034	1.875	120	225	1.0
chr1	56035	56109	75	None	None	0.0	0	0	0.0
chr1	56110	57125	1016	56110	57125	3.6377952755905514	1016	3696	1.0
chr1	57126	57181	56	None	None	0.0	0	0	0.0
chr1	57182	57256	75	57182	57256	1.0	75	75	1.0
chr1	57257	57264	8	None	None	0.0	0	0	0.0
chr1	57265	57339	75	57265	57339	1.0	75	75	1.0
chr1	57340	57464	125	None	None	0.0	0	0	0.0
chr1	57465	58040	576	57465	58040	2.6128472222222223	576	1505	1.0
chr1	58041	58255	215	None	None	0.0	0	0	0.0
chr1	58256	58507	252	58256	58507	2.3968253968253967	252	604	1.0
